Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
6132,0.52,0.63,3,269,2,0,0,sales,medium,exist
6133,0.76,0.37,3,127,4,0,0,sales,medium,exist
6134,0.59,0.58,2,267,3,0,0,sales,medium,exist
6135,0.65,0.79,4,196,2,0,0,accounting,medium,exist
6136,0.68,0.83,3,144,2,0,0,accounting,medium,exist
6137,0.52,0.72,2,247,4,0,0,accounting,medium,exist
6138,0.92,0.5,5,258,3,0,0,hr,medium,exist
6139,0.53,0.84,4,219,2,0,0,hr,high,exist
6140,0.5,0.95,2,208,2,0,0,hr,low,exist
6141,0.98,0.77,4,184,3,0,0,hr,medium,exist
6142,0.85,0.6,5,178,2,0,0,technical,medium,exist
6143,0.49,0.83,4,194,3,0,0,technical,medium,exist
6144,0.52,0.73,4,245,4,0,0,technical,medium,exist
6145,0.96,0.77,3,193,3,0,0,technical,medium,exist
6146,0.86,0.85,3,254,3,0,0,technical,medium,exist
6147,0.35,0.59,3,281,2,0,0,technical,medium,exist
6148,0.99,0.97,5,229,2,0,0,technical,medium,exist
6149,0.52,0.92,4,112,2,0,0,technical,medium,exist
6150,0.75,0.91,4,243,3,0,0,technical,high,exist
6151,0.67,0.66,3,151,3,0,0,technical,low,exist
6152,0.49,0.37,4,216,4,0,0,technical,low,exist
6153,0.51,0.62,3,110,3,0,0,support,low,exist
6154,0.65,0.6,3,142,2,0,0,support,high,exist
6155,0.73,0.8,4,251,2,1,0,support,low,exist
6156,0.46,0.75,6,276,6,0,0,support,low,exist
6157,0.94,0.82,4,159,2,1,0,support,low,exist
6158,0.53,0.69,4,257,4,0,0,support,high,exist
6159,0.6,0.79,5,154,2,0,0,support,low,exist
6160,0.63,0.97,5,146,3,0,0,support,low,exist
6161,0.75,0.77,4,204,2,0,0,support,low,exist
6162,0.69,0.53,4,156,3,0,0,support,low,exist
6163,0.81,0.5,4,170,4,0,0,support,low,exist
6164,0.74,0.84,3,239,3,0,0,technical,low,exist
6165,0.72,0.55,4,145,3,0,0,technical,low,exist
6166,0.27,0.39,4,193,4,0,0,technical,medium,exist
6167,0.86,0.74,2,178,3,0,0,management,medium,exist
6168,0.5,0.59,3,260,3,0,0,IT,medium,exist
6169,0.82,0.5,3,198,4,0,0,IT,medium,exist
6170,0.73,0.51,4,249,5,0,0,IT,medium,exist
6171,0.7,0.72,4,202,3,0,0,IT,medium,exist
6172,0.9,0.72,4,143,3,0,0,IT,medium,exist
6173,0.72,0.95,2,178,4,1,0,product_mng,medium,exist
6174,0.63,0.85,3,151,4,1,0,product_mng,medium,exist
6175,0.84,0.99,4,134,3,0,0,product_mng,medium,exist
6176,0.98,0.92,5,221,3,1,0,product_mng,medium,exist
6177,0.41,0.48,6,165,4,0,0,IT,medium,exist
6178,0.72,0.58,4,255,2,0,0,RandD,high,exist
6179,0.87,0.89,3,140,2,1,0,RandD,low,exist
6180,0.63,0.71,5,141,2,0,0,RandD,medium,exist
6181,0.6,0.96,4,99,6,0,0,RandD,medium,exist
6182,0.58,0.79,5,197,3,0,0,RandD,medium,exist
6183,0.64,0.52,3,240,3,0,0,marketing,medium,exist
6184,0.74,0.62,3,216,3,1,0,sales,low,exist
6185,0.93,0.7,5,206,4,0,0,accounting,low,exist
6186,0.74,0.75,4,257,3,0,0,support,low,exist
6187,0.98,0.6,4,160,3,0,0,technical,low,exist
6188,0.87,0.82,5,138,3,1,0,management,low,exist
6189,0.76,0.99,3,216,3,0,0,marketing,low,exist
6190,0.15,0.91,6,281,3,0,0,marketing,low,exist
6191,0.18,0.57,6,238,6,1,0,marketing,low,exist
6192,1.0,0.67,3,199,4,0,0,sales,low,exist
6193,0.98,0.63,3,135,3,0,0,sales,low,exist
6194,0.73,0.97,3,165,2,0,0,sales,low,exist
6195,0.67,0.72,3,180,3,0,0,sales,low,exist
6196,0.9,0.74,3,227,3,0,0,sales,low,exist
6197,0.54,0.53,3,251,2,0,0,sales,low,exist
6198,0.15,0.39,5,229,4,0,0,sales,low,exist
6199,0.58,0.54,4,199,2,0,0,sales,low,exist
6200,0.81,0.51,4,271,2,0,0,sales,low,exist
6201,0.17,0.51,5,221,3,0,0,sales,low,exist
6202,0.68,0.73,4,251,3,0,0,sales,low,exist
6203,0.68,0.49,4,153,4,0,0,sales,low,exist
6204,0.7,0.93,4,241,3,0,0,sales,low,exist
6205,0.49,0.68,4,201,4,0,0,sales,medium,exist
6206,0.55,0.96,4,267,3,0,0,sales,medium,exist
6207,0.48,0.84,3,146,2,1,0,sales,medium,exist
6208,0.63,0.98,4,210,3,0,0,sales,medium,exist
6209,0.83,0.69,4,233,2,0,0,sales,medium,exist
6210,0.48,0.87,3,221,2,0,0,sales,medium,exist
6211,0.98,0.96,5,183,3,1,0,accounting,medium,exist
6212,0.57,0.72,4,221,3,0,0,accounting,medium,exist
6213,0.72,0.66,3,167,3,0,0,accounting,medium,exist
6214,0.9,0.8,4,240,3,0,0,hr,medium,exist
6215,0.64,0.59,3,200,2,1,0,hr,medium,exist
6216,0.55,0.98,2,144,2,0,0,hr,medium,exist
6217,0.56,0.59,5,209,2,1,0,hr,high,exist
6218,0.8,0.55,3,206,2,0,0,technical,low,exist
6219,0.65,0.76,3,111,5,0,0,technical,medium,exist
6220,0.75,0.78,3,241,3,0,0,technical,medium,exist
6221,0.69,0.79,3,207,3,0,0,technical,medium,exist
6222,0.91,0.76,3,197,3,0,0,technical,medium,exist
6223,0.78,0.63,5,200,2,0,0,technical,low,exist
6224,0.71,0.68,4,242,4,0,0,technical,low,exist
6225,0.79,0.96,4,180,3,0,0,technical,low,exist
6226,0.86,0.72,4,173,3,0,0,technical,low,exist
6227,0.87,0.82,3,224,3,0,0,technical,low,exist
6228,0.76,0.99,2,183,2,0,0,technical,low,exist
6229,0.76,0.8,4,226,5,0,0,support,low,exist
6230,0.74,0.66,3,257,3,0,0,support,low,exist
6231,0.56,0.81,3,165,4,0,0,support,low,exist
6232,0.54,0.91,3,142,2,0,0,support,low,exist
6233,0.84,0.79,4,258,4,0,0,support,low,exist
6234,0.55,0.69,5,193,2,0,0,support,low,exist
6235,0.69,0.51,3,176,2,0,0,support,low,exist
6236,0.79,0.88,4,188,3,0,0,support,low,exist
6237,0.21,0.38,3,275,5,0,0,support,low,exist
6238,0.57,0.58,3,132,3,0,0,support,low,exist
6239,0.89,0.95,3,246,4,0,0,support,low,exist
6240,0.72,0.98,3,181,4,0,0,technical,low,exist
6241,0.56,0.58,5,266,3,0,0,technical,low,exist
6242,0.84,0.68,4,151,2,0,0,technical,low,exist
6243,0.94,0.76,3,257,4,1,0,management,low,exist
6244,0.29,0.88,6,183,4,0,0,IT,medium,exist
6245,0.54,0.93,3,124,5,0,0,IT,medium,exist
6246,0.93,0.73,4,153,2,1,0,IT,medium,exist
6247,0.8,0.68,4,199,2,0,0,IT,medium,exist
6248,1.0,0.73,5,142,4,0,0,IT,medium,exist
6249,0.89,0.56,4,159,3,0,0,product_mng,medium,exist
6250,0.6,0.78,6,211,4,1,0,product_mng,medium,exist
6251,0.49,0.94,5,136,3,0,0,product_mng,medium,exist
6252,0.65,0.75,4,153,2,0,0,product_mng,medium,exist
6253,0.6,0.71,5,263,2,1,0,IT,medium,exist
6254,0.51,1.0,3,168,3,1,0,RandD,medium,exist
6255,0.74,0.89,4,234,3,1,0,RandD,medium,exist
6256,0.57,0.42,4,154,5,0,0,RandD,high,exist
6257,0.82,0.84,5,173,2,0,0,RandD,low,exist
6258,0.19,0.63,5,206,6,0,0,RandD,medium,exist
6259,0.5,0.64,4,208,2,0,0,marketing,medium,exist
6260,0.91,0.68,4,178,3,1,0,sales,medium,exist
6261,0.19,0.86,4,198,6,0,0,accounting,medium,exist
6262,0.94,0.84,4,220,3,0,0,support,low,exist
6263,0.88,0.67,4,226,2,0,0,technical,low,exist
6264,0.9,0.87,4,231,5,0,0,management,low,exist
6265,0.49,0.96,2,206,2,0,0,marketing,low,exist
6266,0.99,0.55,4,179,4,0,0,marketing,low,exist
6267,0.72,0.81,4,200,2,0,0,marketing,low,exist
6268,0.66,0.69,5,202,6,0,0,sales,low,exist
6269,0.96,0.51,4,237,3,0,0,sales,low,exist
6270,0.49,0.69,4,270,3,0,0,sales,low,exist
6271,0.73,0.49,3,168,2,1,0,sales,low,exist
6272,0.48,0.98,5,132,4,0,0,sales,low,exist
6273,0.57,0.78,3,162,2,0,0,sales,low,exist
6274,0.63,0.82,3,269,3,0,0,sales,low,exist
6275,0.46,0.87,5,254,5,1,0,sales,low,exist
6276,0.64,0.5,3,261,2,0,0,sales,low,exist
6277,0.56,0.73,4,148,3,0,0,sales,low,exist
6278,0.97,0.75,5,228,4,0,0,sales,low,exist
6279,0.69,0.68,3,138,3,0,0,sales,low,exist
6280,0.23,0.97,4,200,3,0,0,sales,low,exist
6281,0.77,0.48,4,258,4,1,0,sales,low,exist
6282,0.76,0.57,4,266,3,0,0,sales,low,exist
6283,0.98,0.66,3,204,2,0,0,sales,medium,exist
6284,0.92,0.77,3,236,3,0,0,sales,medium,exist
6285,0.63,0.67,4,149,3,1,0,sales,medium,exist
6286,0.91,0.69,5,240,3,0,0,sales,medium,exist
6287,0.4,0.67,3,115,3,0,0,accounting,medium,exist
6288,0.82,0.62,4,267,3,1,0,accounting,medium,exist
6289,0.81,0.88,4,149,3,0,0,accounting,medium,exist
6290,0.61,0.69,3,224,3,0,0,hr,medium,exist
6291,0.3,0.57,2,158,2,0,0,hr,medium,exist
6292,0.59,0.72,2,107,3,0,0,hr,medium,exist
6293,0.2,0.56,3,217,5,0,0,hr,medium,exist
6294,0.75,0.56,2,212,2,0,0,technical,medium,exist
6295,0.59,0.79,3,270,3,0,0,technical,high,exist
6296,0.63,0.53,4,243,2,0,0,technical,low,exist
6297,0.77,0.68,5,162,4,1,0,technical,medium,exist
6298,0.82,0.6,5,232,2,0,0,technical,medium,exist
6299,0.6,0.85,5,187,4,0,0,technical,medium,exist
6300,0.83,0.72,3,259,2,0,0,technical,medium,exist
6301,0.67,0.6,4,209,2,0,0,technical,low,exist
6302,0.84,0.56,5,97,6,0,0,technical,low,exist
6303,0.68,0.79,5,139,4,0,0,technical,low,exist
6304,0.74,0.92,4,258,3,1,0,technical,low,exist
6305,0.63,0.64,3,208,2,1,0,support,low,exist
6306,0.88,0.9,2,233,3,0,0,support,low,exist
6307,1.0,0.81,3,168,4,0,0,support,low,exist
6308,0.7,0.87,4,252,2,1,0,support,low,exist
6309,0.5,0.71,5,171,4,0,0,support,low,exist
6310,0.94,0.66,5,219,3,0,0,support,low,exist
6311,0.67,0.54,3,213,4,0,0,support,low,exist
6312,0.8,0.88,5,199,4,0,0,support,low,exist
6313,0.7,0.88,4,245,2,0,0,support,low,exist
6314,0.24,0.73,4,273,5,0,0,support,low,exist
6315,0.98,1.0,4,202,3,0,0,support,low,exist
6316,0.76,0.65,4,240,3,0,0,technical,low,exist
6317,0.78,0.5,4,155,4,0,0,technical,low,exist
6318,0.42,0.91,3,209,2,0,0,technical,low,exist
6319,0.83,0.64,4,210,3,0,0,management,medium,exist
6320,0.98,0.81,4,266,6,0,0,IT,medium,exist
6321,0.64,0.81,2,226,2,0,0,IT,medium,exist
6322,0.67,0.75,4,133,2,0,0,IT,medium,exist
6323,0.26,0.39,3,99,4,0,0,IT,medium,exist
6324,0.97,0.64,3,237,3,0,0,IT,medium,exist
6325,0.48,0.6,4,230,3,0,0,product_mng,medium,exist
6326,0.84,0.55,4,149,2,0,0,product_mng,medium,exist
6327,0.71,0.74,4,206,4,0,0,product_mng,medium,exist
6328,1.0,0.84,3,185,3,0,0,product_mng,medium,exist
6329,0.6,0.76,5,269,2,0,0,IT,medium,exist
6330,0.95,0.37,6,233,5,0,0,RandD,medium,exist
6331,0.56,0.56,3,162,2,0,0,RandD,high,exist
6332,0.75,0.49,2,173,3,1,0,RandD,low,exist
6333,0.98,0.53,6,253,4,0,0,RandD,medium,exist
6334,0.7,0.72,5,134,3,0,0,RandD,medium,exist
6335,0.65,0.92,4,133,3,0,0,marketing,medium,exist
6336,0.8,0.81,5,143,2,0,0,sales,medium,exist
6337,0.49,0.78,3,264,4,0,0,accounting,low,exist
6338,0.32,0.73,3,180,6,0,0,support,low,exist
6339,0.88,0.54,3,235,2,1,0,technical,low,exist
6340,0.8,0.97,4,232,2,0,0,management,low,exist
6341,0.73,0.74,4,181,4,0,0,marketing,low,exist
6342,0.72,0.58,3,198,2,0,0,marketing,low,exist
6343,0.58,0.78,5,211,3,1,0,marketing,low,exist
6344,0.66,0.96,4,216,3,0,0,sales,low,exist
6345,0.63,0.79,3,197,3,1,0,sales,low,exist
6346,0.69,0.56,2,214,2,0,0,sales,low,exist
6347,0.49,0.59,3,185,3,0,0,sales,low,exist
6348,0.6,0.45,3,173,2,0,0,sales,low,exist
6349,0.5,0.63,4,229,4,0,0,sales,low,exist
6350,0.34,0.81,4,116,3,1,0,sales,low,exist
6351,0.79,0.6,5,223,3,0,0,sales,low,exist
6352,0.98,0.68,4,154,3,0,0,sales,low,exist
6353,0.96,0.97,5,240,2,0,0,sales,low,exist
6354,0.88,0.89,3,139,2,0,0,sales,low,exist
6355,0.6,0.61,2,275,2,0,0,sales,low,exist
6356,0.62,0.73,3,158,3,1,0,sales,low,exist
6357,0.4,0.72,3,204,4,1,0,sales,low,exist
6358,0.16,0.82,5,121,2,0,0,sales,medium,exist
6359,0.81,0.98,5,243,6,0,0,sales,medium,exist
6360,0.69,0.69,4,195,2,0,0,sales,medium,exist
6361,0.66,0.51,5,149,3,0,0,sales,medium,exist
6362,0.66,0.62,5,214,2,0,0,sales,medium,exist
6363,0.61,0.53,4,266,3,0,0,accounting,medium,exist
6364,0.99,0.77,5,222,2,0,0,accounting,medium,exist
6365,0.73,0.54,3,283,6,0,0,accounting,medium,exist
6366,0.63,0.72,2,161,5,0,0,hr,medium,exist
6367,0.6,0.91,3,157,4,0,0,hr,medium,exist
6368,0.44,0.44,3,126,2,0,0,hr,medium,exist
6369,0.64,0.95,3,131,6,0,0,hr,medium,exist
6370,0.91,0.81,4,139,2,0,0,technical,high,exist
6371,0.55,0.59,4,230,3,0,0,technical,low,exist
6372,0.7,0.73,4,240,2,1,0,technical,medium,exist
6373,0.37,0.59,3,134,3,0,0,technical,medium,exist
6374,0.16,0.56,6,196,3,0,0,technical,medium,exist
6375,0.69,0.97,5,240,4,0,0,technical,medium,exist
6376,0.96,0.47,2,233,5,1,0,technical,low,exist
6377,0.62,0.91,5,267,3,0,0,technical,low,exist
6378,0.94,0.45,2,211,3,0,0,technical,low,exist
6379,0.67,0.83,3,260,3,0,0,technical,low,exist
6380,0.89,0.57,3,113,3,0,0,technical,low,exist
6381,0.6,0.63,5,267,3,0,0,support,low,exist
6382,0.89,0.62,5,196,3,0,0,support,low,exist
6383,0.6,0.89,3,232,2,0,0,support,low,exist
6384,0.93,0.95,2,156,3,1,0,support,low,exist
6385,0.38,0.78,4,159,5,0,0,support,low,exist
6386,0.62,0.57,3,223,3,1,0,support,low,exist
6387,0.86,0.86,4,197,3,1,0,support,low,exist
6388,0.61,0.62,2,192,2,1,0,support,low,exist
6389,0.77,0.64,4,192,3,0,0,support,low,exist
6390,0.85,0.73,4,174,3,0,0,support,low,exist
6391,0.94,0.62,4,191,3,0,0,support,low,exist
6392,0.59,0.59,4,270,2,0,0,technical,low,exist
6393,0.9,0.92,3,139,3,0,0,technical,low,exist
6394,0.86,0.65,4,243,2,0,0,technical,low,exist
6395,0.72,0.7,3,238,2,0,0,management,low,exist
6396,0.84,0.52,5,189,2,1,0,IT,low,exist
6397,0.64,0.5,4,189,3,0,0,IT,medium,exist
6398,0.81,0.75,4,206,3,0,0,IT,medium,exist
6399,0.66,0.7,5,254,2,0,0,IT,medium,exist
6400,0.75,0.55,3,253,6,0,0,IT,medium,exist
6401,0.54,0.67,3,243,2,0,0,product_mng,medium,exist
6402,0.98,0.76,3,224,2,0,0,product_mng,medium,exist
6403,0.8,0.85,4,139,2,0,0,product_mng,medium,exist
6404,0.68,0.7,5,270,3,0,0,product_mng,medium,exist
6405,0.54,0.57,3,257,2,0,0,IT,medium,exist
6406,0.88,0.84,4,170,2,0,0,RandD,medium,exist
6407,0.71,0.62,3,222,3,0,0,RandD,medium,exist
6408,0.77,0.58,2,247,2,1,0,RandD,medium,exist
6409,0.6,0.6,4,201,3,0,0,RandD,high,exist
6410,0.53,0.75,4,263,5,0,0,RandD,low,exist
6411,0.85,0.5,3,168,2,1,0,marketing,medium,exist
6412,0.59,0.75,4,190,2,0,0,sales,medium,exist
6413,0.23,0.77,4,140,5,0,0,accounting,medium,exist
6414,0.7,0.6,3,224,3,0,0,support,medium,exist
6415,0.92,0.49,5,145,3,0,0,technical,low,exist
6416,0.95,0.37,4,285,3,0,0,management,low,exist
6417,0.39,0.43,3,154,3,0,0,marketing,low,exist
6418,0.85,0.8,4,200,2,0,0,marketing,low,exist
6419,0.98,0.7,3,255,2,1,0,marketing,low,exist
6420,0.15,0.48,6,204,6,1,0,sales,low,exist
6421,0.68,0.54,3,270,4,1,0,sales,low,exist
6422,0.24,0.91,5,177,5,0,0,sales,low,exist
6423,0.77,0.59,4,140,3,0,0,sales,medium,exist
6424,0.36,0.69,3,165,3,0,0,sales,medium,exist
6425,0.5,0.89,3,187,4,1,0,sales,medium,exist
6426,0.2,0.98,4,166,4,1,0,sales,medium,exist
6427,0.86,0.56,5,141,2,0,0,sales,medium,exist
6428,0.84,0.63,4,135,2,0,0,sales,medium,exist
6429,0.9,0.98,5,148,4,0,0,sales,medium,exist
6430,0.4,0.51,3,120,6,0,0,sales,medium,exist
6431,0.63,0.62,3,141,3,0,0,sales,medium,exist
6432,0.73,0.95,3,222,4,0,0,sales,medium,exist
6433,0.25,0.67,2,136,6,0,0,sales,medium,exist
6434,0.7,0.57,3,180,2,0,0,sales,medium,exist
6435,0.6,0.97,3,187,3,1,0,sales,medium,exist
6436,0.99,0.66,3,202,3,0,0,sales,medium,exist
6437,0.29,0.86,3,251,4,0,0,sales,medium,exist
6438,0.53,0.63,4,259,2,0,0,sales,medium,exist
6439,0.83,0.76,3,262,2,0,0,accounting,medium,exist
6440,0.18,0.92,5,251,4,0,0,accounting,medium,exist
6441,0.14,0.74,4,117,5,0,0,accounting,medium,exist
6442,0.5,0.66,4,155,2,0,0,hr,medium,exist
6443,0.36,0.89,3,197,6,0,0,hr,medium,exist
6444,0.34,0.56,3,139,2,0,0,hr,medium,exist
6445,0.51,0.75,4,175,2,0,0,hr,medium,exist
6446,0.5,0.52,5,137,3,1,0,technical,medium,exist
6447,0.69,0.93,3,228,4,0,0,technical,medium,exist
6448,0.52,0.51,2,232,4,0,0,technical,high,exist
6449,0.32,0.5,2,143,3,0,0,technical,high,exist
6450,0.88,0.99,3,190,5,0,0,technical,high,exist
6451,0.6,0.87,3,196,3,1,0,technical,high,exist
6452,0.72,0.8,3,213,3,0,0,technical,high,exist
6453,0.65,0.9,3,200,3,0,0,technical,high,exist
6454,0.82,0.78,5,166,2,0,0,technical,high,exist
6455,0.67,0.92,5,258,3,0,0,technical,high,exist
6456,0.44,0.87,5,104,4,0,0,technical,high,exist
6457,0.52,0.85,5,173,2,0,0,support,high,exist
6458,0.54,0.51,2,176,3,0,0,support,high,exist
6459,0.67,0.76,5,181,3,0,0,support,high,exist
6460,0.16,0.64,6,143,5,1,0,support,low,exist
6461,0.81,0.73,4,186,3,0,0,support,low,exist
6462,0.77,0.85,3,136,3,0,0,support,low,exist
6463,0.84,0.99,4,219,2,0,0,support,low,exist
6464,0.56,0.56,5,229,4,1,0,support,low,exist
6465,0.67,0.97,5,239,3,0,0,support,low,exist
6466,0.65,0.7,4,182,2,0,0,support,low,exist
6467,0.39,0.57,2,132,3,0,0,support,low,exist
6468,0.77,0.75,3,272,3,0,0,technical,low,exist
6469,0.41,0.96,5,167,3,1,0,technical,low,exist
6470,0.59,0.67,3,180,2,0,0,technical,low,exist
6471,0.14,0.72,6,100,5,0,0,management,low,exist
6472,0.6,0.82,4,134,2,0,0,IT,low,exist
6473,0.14,0.98,6,221,5,0,0,IT,low,exist
6474,0.88,0.8,3,166,2,0,0,IT,low,exist
6475,0.6,0.91,4,214,2,0,0,IT,medium,exist
6476,1.0,0.49,4,227,3,1,0,IT,medium,exist
6477,0.56,0.98,4,207,3,0,0,product_mng,medium,exist
6478,0.72,0.54,3,286,6,0,0,product_mng,medium,exist
6479,0.59,0.83,3,240,3,1,0,product_mng,medium,exist
6480,0.74,0.75,4,111,4,1,0,product_mng,medium,exist
6481,0.52,0.69,4,164,2,0,0,IT,medium,exist
6482,0.77,0.74,2,187,6,0,0,RandD,medium,exist
6483,0.48,0.81,4,248,2,0,0,RandD,medium,exist
6484,0.99,0.56,5,210,2,0,0,RandD,medium,exist
6485,0.23,0.78,4,163,6,0,0,RandD,medium,exist
6486,0.63,1.0,5,241,4,0,0,RandD,medium,exist
6487,0.51,0.83,3,136,3,0,0,marketing,high,exist
6488,0.54,0.55,4,208,5,0,0,sales,high,exist
6489,0.53,0.73,5,174,3,0,0,accounting,high,exist
6490,0.72,0.84,4,250,3,0,0,support,high,exist
6491,0.57,0.61,2,189,2,1,0,technical,high,exist
6492,0.81,0.77,3,204,3,0,0,management,high,exist
6493,0.64,0.57,4,217,3,0,0,marketing,high,exist
6494,0.77,0.57,5,162,3,0,0,marketing,high,exist
6495,0.83,0.55,3,257,2,0,0,marketing,low,exist
6496,0.6,0.71,3,195,2,0,0,sales,low,exist
6497,0.86,0.87,5,156,4,0,0,sales,low,exist
6498,0.5,0.55,2,128,3,0,0,sales,low,exist
6499,0.6,0.75,5,233,3,1,0,sales,low,exist
6500,0.85,0.73,4,260,4,0,0,sales,low,exist
6501,0.4,0.87,5,250,4,0,0,sales,low,exist
6502,0.38,0.79,5,176,3,0,0,sales,low,exist
6503,0.96,0.59,6,133,5,0,0,sales,medium,exist
6504,0.59,0.57,4,197,2,0,0,sales,medium,exist
6505,0.56,0.5,3,156,3,1,0,sales,medium,exist
6506,0.84,0.96,3,162,3,0,0,sales,medium,exist
6507,0.94,0.99,3,207,2,0,0,sales,medium,exist
6508,0.72,0.63,3,223,2,1,0,sales,medium,exist
6509,0.82,0.7,3,149,2,0,0,sales,medium,exist
6510,1.0,0.95,3,275,3,1,0,sales,medium,exist
6511,0.62,0.77,3,271,2,0,0,sales,medium,exist
6512,0.76,0.89,3,273,2,1,0,sales,medium,exist
6513,0.23,0.74,5,219,4,0,0,sales,medium,exist
6514,0.7,0.99,5,135,4,0,0,sales,medium,exist
6515,0.71,0.88,3,158,3,0,0,accounting,medium,exist
6516,0.32,0.37,3,167,3,0,0,accounting,medium,exist
6517,0.69,0.67,4,274,4,0,0,accounting,medium,exist
6518,0.66,0.59,3,145,3,0,0,hr,medium,exist
6519,0.7,0.67,6,233,6,0,0,hr,medium,exist
6520,0.91,0.76,3,159,3,0,0,hr,medium,exist
6521,0.2,0.7,4,221,5,0,0,hr,medium,exist
6522,0.72,0.83,3,132,2,0,0,technical,medium,exist
6523,0.74,0.93,5,140,3,0,0,technical,medium,exist
6524,0.53,0.79,3,206,3,0,0,technical,medium,exist
6525,0.99,0.92,4,229,2,0,0,technical,medium,exist
6526,0.75,0.85,4,272,4,0,0,technical,high,exist
6527,0.86,0.78,4,164,2,0,0,technical,low,exist
6528,0.93,0.86,4,145,3,0,0,technical,medium,exist
6529,0.81,0.95,3,212,3,0,0,technical,medium,exist
6530,0.49,0.67,3,254,2,1,0,technical,medium,exist
6531,0.97,0.72,5,260,4,0,0,technical,medium,exist
6532,0.62,0.89,3,201,3,0,0,technical,medium,exist
6533,0.75,0.79,4,176,4,1,0,support,medium,exist
6534,0.87,0.58,3,140,3,1,0,support,medium,exist
6535,0.93,0.65,5,201,3,0,0,support,medium,exist
6536,0.74,0.68,3,206,2,1,0,support,medium,exist
6537,0.68,0.57,3,197,3,1,0,support,medium,exist
6538,0.49,0.63,3,245,4,0,0,support,low,exist
6539,0.75,0.84,3,145,3,1,0,support,low,exist
6540,0.95,0.58,4,131,5,0,0,support,low,exist
6541,0.95,0.75,5,235,3,1,0,support,low,exist
6542,0.67,0.65,5,242,3,0,0,support,low,exist
6543,0.71,0.6,2,251,3,0,0,support,low,exist
6544,0.81,0.73,4,258,2,0,0,technical,low,exist
6545,0.79,0.36,3,114,3,0,0,technical,high,exist
6546,0.57,0.52,3,143,2,0,0,technical,low,exist
6547,0.85,0.65,3,187,2,0,0,management,high,exist
6548,0.15,0.78,5,255,3,0,0,IT,high,exist
6549,0.48,0.87,3,267,2,0,0,IT,low,exist
6550,0.92,0.91,4,247,3,0,0,IT,low,exist
6551,0.73,0.67,4,153,3,0,0,IT,high,exist
6552,0.68,0.71,3,237,3,0,0,IT,low,exist
6553,0.88,0.55,5,182,3,0,0,product_mng,medium,exist
6554,0.8,0.55,4,144,5,1,0,product_mng,high,exist
6555,0.66,0.9,3,176,2,1,0,product_mng,medium,exist
6556,0.19,0.8,5,203,6,0,0,product_mng,medium,exist
6557,0.3,0.53,3,148,4,0,0,IT,medium,exist
6558,0.8,0.8,3,175,2,0,0,RandD,medium,exist
6559,0.66,0.84,3,211,4,0,0,RandD,high,exist
6560,0.22,0.67,6,175,5,0,0,RandD,medium,exist
6561,0.57,0.59,4,206,3,0,0,RandD,medium,exist
6562,0.83,0.73,4,262,2,0,0,RandD,medium,exist
6563,0.57,0.5,4,177,2,0,0,marketing,high,exist
6564,0.78,0.54,3,134,3,0,0,sales,medium,exist
6565,0.88,0.89,2,201,3,0,0,accounting,high,exist
6566,0.48,0.69,3,105,3,0,0,support,low,exist
6567,0.91,0.82,4,259,3,0,0,technical,medium,exist
6568,0.3,0.97,3,171,4,1,0,management,medium,exist
6569,0.63,0.98,4,228,3,0,0,marketing,medium,exist
6570,0.62,0.36,2,137,4,1,0,marketing,medium,exist
6571,0.74,0.72,5,196,3,0,0,marketing,low,exist
6572,0.5,0.53,3,207,4,0,0,sales,low,exist
6573,0.36,0.74,6,280,3,0,0,sales,low,exist
6574,0.57,0.65,4,162,3,1,0,sales,low,exist
6575,0.73,0.55,4,267,3,0,0,sales,low,exist
6576,0.77,0.67,5,207,2,0,0,sales,low,exist
6577,0.86,0.5,4,196,2,0,0,sales,low,exist
6578,0.24,0.55,6,231,4,0,0,sales,low,exist
6579,0.83,0.62,4,242,3,0,0,sales,low,exist
6580,0.72,0.63,4,207,3,0,0,sales,low,exist
6581,0.52,0.82,4,206,2,1,0,sales,high,exist
6582,0.99,0.54,4,236,4,0,0,sales,low,exist
6583,0.15,0.68,5,246,2,0,0,sales,low,exist
6584,0.79,0.94,3,204,2,1,0,sales,low,exist
6585,0.19,0.91,3,268,4,0,0,sales,low,exist
6586,0.59,0.62,3,212,2,1,0,sales,high,exist
6587,0.15,0.74,6,178,3,0,0,sales,low,exist
6588,0.75,0.72,5,260,3,0,0,sales,low,exist
6589,0.47,0.71,2,241,4,0,0,sales,low,exist
6590,0.64,0.64,3,234,3,1,0,sales,high,exist
6591,0.66,0.76,3,207,2,0,0,accounting,low,exist
6592,0.8,0.91,5,242,3,1,0,accounting,medium,exist
6593,0.82,0.52,5,225,2,0,0,accounting,high,exist
6594,0.8,0.98,3,161,3,0,0,hr,medium,exist
6595,0.98,0.98,4,259,2,0,0,hr,high,exist
6596,0.95,0.96,3,250,3,0,0,hr,medium,exist
6597,0.88,0.61,3,236,3,0,0,hr,medium,exist
6598,0.9,0.97,4,239,4,0,0,technical,medium,exist
6599,0.66,0.83,4,266,3,1,0,technical,medium,exist
6600,0.99,0.62,5,133,3,0,0,technical,medium,exist
6601,0.86,0.95,5,275,2,0,0,technical,medium,exist
6602,0.96,0.95,5,189,2,0,0,technical,medium,exist
